PLAYER_ID,PLAYER_NAME,SEASON,USG_PCT,PACE,TS_PCT
203932,Aaron Gordon,2021-22,0.194,99.0,0.602
1630565,Aaron Henry,2021-22,0.149,105.99,0.2
1628988,Aaron Holiday,2021-22,0.182,99.57,0.544
1630174,Aaron Nesmith,2021-22,0.164,100.58,0.507
1630598,Aaron Wiggins,2021-22,0.149,101.6,0.556
1627846,Abdel Nader,2021-22,0.139,107.91,0.431
1630278,Ade Murkey,2021-22,0.0,98.18,0.0
1629678,Admiral Schofield,2021-22,0.143,99.88,0.538
1629958,Ahmad Caver,2021-22,0.5,142.29,1.0
201143,Al Horford,2021-22,0.147,98.03,0.574
202692,Alec Burks,2021-22,0.171,96.97,0.559
1630758,Aleem Ford,2021-22,0.148,93.68,0.35
1630197,Aleksej Pokusevski,2021-22,0.195,100.66,0.485
1627936,Alex Caruso,2021-22,0.13,99.49,0.528
203458,Alex Len,2021-22,0.165,102.74,0.577
1628035,Alfonzo McKinnie,2021-22,0.148,97.37,0.457
1628993,Alize Johnson,2021-22,0.14,97.6,0.463
1630578,Alperen Sengun,2021-22,0.214,101.69,0.552
1629599,Amir Coffey,2021-22,0.154,100.02,0.598
203083,Andre Drummond,2021-22,0.181,99.27,0.574
2738,Andre Iguodala,2021-22,0.113,99.57,0.478
203952,Andrew Wiggins,2021-22,0.224,99.79,0.56
1629014,Anfernee Simons,2021-22,0.244,98.43,0.583
203076,Anthony Davis,2021-22,0.263,101.79,0.578
1630162,Anthony Edwards,2021-22,0.262,101.18,0.56
1630264,Anthony Gill,2021-22,0.138,100.53,0.682
1630237,Anthony Lamb,2021-22,0.105,106.2,0.0
1629717,Armoni Brooks,2021-22,0.159,100.95,0.483
1629083,Arnoldas Kulboka,2021-22,0.071,108.68,0.0
1630559,Austin Reaves,2021-22,0.121,101.81,0.6
203085,Austin Rivers,2021-22,0.123,98.91,0.546
202340,Avery Bradley,2021-22,0.119,100.99,0.55
1630245,Ayo Dosunmu,2021-22,0.138,100.31,0.596
