GAME_ID,GAME_DATE,SEASON,TEAM_ID,TEAM_NAME,OPPONENT,PTS_ALLOWED,FG3_ALLOWED,FG3A_ALLOWED,OPP_FG3_PCT
0042300405,2024-06-17,2023-24,1610612742,Dallas Mavericks,Boston Celtics,106,13,39,0.3333333333333333
0042300405,2024-06-17,2023-24,1610612738,Boston Celtics,Dallas Mavericks,88,11,37,0.2972972972972973
0042300404,2024-06-14,2023-24,1610612742,Dallas Mavericks,Boston Celtics,84,14,41,0.34146341463414637
0042300404,2024-06-14,2023-24,1610612738,Boston Celtics,Dallas Mavericks,122,15,37,0.40540540540540543
0042300403,2024-06-12,2023-24,1610612742,Dallas Mavericks,Boston Celtics,106,17,46,0.3695652173913043
0042300403,2024-06-12,2023-24,1610612738,Boston Celtics,Dallas Mavericks,99,9,25,0.36
0042300402,2024-06-09,2023-24,1610612742,Dallas Mavericks,Boston Celtics,105,10,39,0.2564102564102564
0042300402,2024-06-09,2023-24,1610612738,Boston Celtics,Dallas Mavericks,98,6,26,0.23076923076923078
0042300401,2024-06-06,2023-24,1610612742,Dallas Mavericks,Boston Celtics,107,16,42,0.38095238095238093
0042300401,2024-06-06,2023-24,1610612738,Boston Celtics,Dallas Mavericks,89,7,27,0.25925925925925924
0042300315,2024-05-30,2023-24,1610612750,Minnesota Timberwolves,Dallas Mavericks,124,15,34,0.4411764705882353
0042300315,2024-05-30,2023-24,1610612742,Dallas Mavericks,Minnesota Timberwolves,103,10,32,0.3125
0042300314,2024-05-28,2023-24,1610612750,Minnesota Timberwolves,Dallas Mavericks,100,14,40,0.35
0042300314,2024-05-28,2023-24,1610612742,Dallas Mavericks,Minnesota Timberwolves,105,11,24,0.4583333333333333
0042300304,2024-05-27,2023-24,1610612738,Boston Celtics,Indiana Pacers,102,10,29,0.3448275862068966
0042300304,2024-05-27,2023-24,1610612754,Indiana Pacers,Boston Celtics,105,14,44,0.3181818181818182
0042300313,2024-05-26,2023-24,1610612750,Minnesota Timberwolves,Dallas Mavericks,116,14,28,0.5
0042300313,2024-05-26,2023-24,1610612742,Dallas Mavericks,Minnesota Timberwolves,107,9,30,0.3
0042300303,2024-05-25,2023-24,1610612754,Indiana Pacers,Boston Celtics,114,16,46,0.34782608695652173
0042300303,2024-05-25,2023-24,1610612738,Boston Celtics,Indiana Pacers,111,5,22,0.22727272727272727
0042300312,2024-05-24,2023-24,1610612742,Dallas Mavericks,Minnesota Timberwolves,108,12,31,0.3870967741935484
0042300312,2024-05-24,2023-24,1610612750,Minnesota Timberwolves,Dallas Mavericks,109,12,31,0.3870967741935484
0042300302,2024-05-23,2023-24,1610612738,Boston Celtics,Indiana Pacers,110,11,29,0.3793103448275862
